#ItemId,Category,Price,StackMax,Rank,Name,Subcategory,Level,Jobs,CrestSlots,Quality,Gender
9404,1,800,10,15,Artisan's Pickaxe,3,,,,,
9405,1,800,10,15,Artisan's Lumber Knife,4,,,,,
9406,1,800,10,15,All-Purpose Lockpick,5,,,,,
9407,1,37,10,3,Herb Salad,1,,,,,
9408,1,37,10,3,Meatloaf,1,,,,,
9409,1,37,10,3,Lestania Wine,1,,,,,
9410,1,75,10,5,Three-Herb Salad,1,,,,,
9411,1,75,10,5,Wine-Boiled Mushroom,1,,,,,
9412,1,75,10,5,Wild Steak,1,,,,,
9413,1,75,10,5,Mellow Ale,1,,,,,
9414,1,200,10,7,Five-Herb Salad,1,,,,,
9415,1,200,10,7,Grilled Mushroom,1,,,,,
9416,1,200,10,7,Exquisite Fried Meat,1,,,,,
9417,1,200,10,7,Blue Whiskey,1,,,,,
9418,1,350,10,8,Harvest Salad,1,,,,,
9419,1,350,10,8,Special Mushroom Dip,1,,,,,
9420,1,350,10,8,Rare Meat Paté,1,,,,,
9421,1,350,10,8,Witch's Brew,1,,,,,
9422,1,450,10,10,Forest Royal Salad,1,,,,,
9423,1,450,10,10,Secret Mushroom Stew,1,,,,,
9424,1,450,10,10,Rousing Steak,1,,,,,
9425,1,450,10,10,Dragon Spirits,1,,,,,
9426,1,0,99,1,Spring of Healing Key,8,,,,,
9427,1,0,99,2,Spring of Vitality Key,8,,,,,
9428,1,0,99,3,Spring of Abundance Key,8,,,,,
9429,1,100,99,4,Small Thief's Key,8,,,,,
10664,1,0,99,0,Golden Gemstone,1,,,,,
10665,1,0,99,0,Passport Course,1,,,,,
10669,1,0,99,0,Craft Master Pawn,1,,,,,
10672,1,0,99,0,Unspecified Material,1,,,,,
10673,1,0,99,0,Unspecified Crest,1,,,,,
10674,1,0,99,0,Unspecified Weapon,1,,,,,
10675,1,0,99,0,Unspecified Armor,1,,,,,
10676,1,0,99,0,Unspecified Jewelry,1,,,,,
10682,1,1,99,0,Silver Ticket,1,,,,,
11051,1,0,99,0,Grand Mission Course,1,,,,,
11052,1,0,99,0,Net Cafe Privilege,1,,,,,
11261,1,1,255,0,Currency for JP reset,1,,,,,
11262,1,1,255,0,Currency for resetting craft P,1,,,,,
11407,1,500,10,25,Corruption Cure,1,,,,,
11408,1,250,50,15,Anti-Corruption Medicine,1,,,,,
11510,1,500,50,20,Superior Anti-Corruption Medicine,1,,,,,
13328,1,10,255,0,AP (Hidell Plains),1,,,,,
13329,1,10,255,0,AP (Breya Coast),1,,,,,
13330,1,10,255,0,AP (Mysree Forest),1,,,,,
13331,1,10,255,0,AP (Volden Mines),1,,,,,
13332,1,10,255,0,AP (Dowe Valley),1,,,,,
13333,1,10,255,0,AP (Mysree Grove),1,,,,,
13334,1,10,255,0,AP (Deenan Woods),1,,,,,
13335,1,10,255,0,AP (Betland Plains),1,,,,,
13336,1,10,255,0,AP (Northern Betland Plains),1,,,,,
13337,1,10,255,0,AP (Zandora Wastelands),1,,,,,
13338,1,10,255,0,AP (Eastern Zandora),1,,,,,
13339,1,10,255,0,AP (Mergoda Ruins),1,,,,,
13340,1,10,255,0,AP (Bloodbane Isle),1,,,,,
13341,1,10,255,0,AP (Elan Water Grove),1,,,,,
13342,1,10,255,0,AP (Farana Plains),1,,,,,
13343,1,10,255,0,AP (Morrow Forest),1,,,,,
13344,1,10,255,0,AP (Kingal Canyon),1,,,,,
13345,1,10,255,0,AP (Rathnite Foothills),1,,,,,
13346,1,10,255,0,AP (Feryana Wilderness),1,,,,,
13347,1,10,255,0,AP (Megadosys Plateau),1,,,,,
13348,1,10,255,0,12_07_JP_obtain_01,1,,,,,
13349,1,10,255,0,12_07_JP_obtain_02,1,,,,,
13350,1,10,255,0,12_07_JP_obtain_03,1,,,,,
13351,1,10,255,0,12_07_JP_obtain_04,1,,,,,
13352,1,10,255,0,12_07_JP_obtain_05,1,,,,,
13353,1,10,255,0,12_07_JP obtained_06,1,,,,,
13354,1,10,255,0,12_07_JP obtained_07,1,,,,,
13355,1,10,255,0,12_07_JP_obtain_08,1,,,,,
13356,1,10,255,0,12_07_JP_obtain_09,1,,,,,
13357,1,10,255,0,12_07_JP_obtain_10,1,,,,,
13786,1,0,255,0,Secret Ability: Companion Health,1,,,,,
13787,1,0,255,0,Secret Ability: Companion Stamina,1,,,,,
13788,1,0,255,0,Secret Ability: Companion Attack,1,,,,,
13789,1,0,255,0,Secret Ability: Companion Magick,1,,,,,
13790,1,0,255,0,Secret Ability: Companion Defense,1,,,,,
13791,1,0,255,0,Secret Ability: Companion Magick Defense,1,,,,,
13800,1,1000,10,15,Superior White Dragon Miracle Cure,1,,,,,
13801,1,1000,10,15,Superior White Dragon Gala Extract,1,,,,,
13802,1,900,10,15,Large Pill of Savages,1,,,,,
13803,1,900,10,15,Strong Gala Pickling Liquor,1,,,,,
13804,1,600,10,15,Twin Gods Talisman,1,,,,,
13805,1,900,10,15,Fine Carpaccio,1,,,,,
13806,1,900,10,15,Herbal Mead,1,,,,,
13807,1,1000,10,15,Cure-All,1,,,,,
13808,1,600,10,15,Angel's Charm,1,,,,,
13809,1,600,10,15,Sprite's Charm,1,,,,,
13846,1,0,99,0,Skill acquisition_Goutame slash,1,,,,,
13847,1,0,99,0,AB Acquisition_Straight Strike Down,1,,,,,
13848,1,0,99,0,AB Acquisition_Zanbakuten Overthrow,1,,,,,
13849,1,0,99,0,AB Mastery_Gut Thrust Extinction,1,,,,,
13850,1,0,99,0,AB Acquisition_Collapse_Attack,1,,,,,
13851,1,0,99,0,AB Mastery_Strong_Reinforcement_Increase,1,,,,,
13852,1,0,99,0,AB Acquisition_Hard Shield,1,,,,,
13853,1,0,99,0,AB Acquisition_Renewal_Break,1,,,,,
13854,1,0,99,0,AB Acquisition_Linear_Collapse_Extinction,1,,,,,
13855,1,0,99,0,AB Mastery_Gut Thrust Crushing,1,,,,,
13856,1,0,99,0,AB Mastery_Hardened_Tamenuri,1,,,,,
13857,1,0,99,0,AB Mastery_Stronger_Ren breakage,1,,,,,
13858,1,0,99,0,AB Acquisition_Kaishinshitsu,1,,,,,
13859,1,0,99,0,AB Acquisition_Renzan Fall,1,,,,,
13860,1,0,99,0,AB Learn_Slash_Breakdown,1,,,,,
13861,1,0,99,0,AB Acquisition_Ranzan Shatter,1,,,,,
13862,1,0,99,0,AB Acquisition_Running Endurance,1,,,,,
13863,1,0,99,0,AB Learn_Turn_Kick_Tumble,1,,,,,
13864,1,0,99,0,AB Mastery_Deep_Attack,1,,,,,
13865,1,0,99,0,AB Acquisition_Renzan Shatter,1,,,,,
13866,1,0,99,0,AB Acquisition_Split,1,,,,,
13867,1,0,99,0,AB Acquisition_Ranzan Zetsu,1,,,,,
13868,1,0,99,0,AB Mastery_Strong_Attack,1,,,,,
13869,1,0,99,0,AB Acquisition_Turn kick Crushing,1,,,,,
13870,1,0,99,0,AB Mastery_Reversal,1,,,,,
13871,1,0,99,0,AB Acquisition_Bow shooting Falling,1,,,,,
13872,1,0,99,0,AB Acquisition_Yazan Retsu,1,,,,,
13873,1,0,99,0,AB Mastery_Rigid_structure,1,,,,,
13874,1,0,99,0,AB Mastery_Bakugya Retsu,1,,,,,
13875,1,0,99,0,AB Mastery_Static_Shooting_Inverted,1,,,,,
13876,1,0,99,0,AB Acquisition_Rescue,1,,,,,
13877,1,0,99,0,AB Acquisition_Bow shooting Crushing,1,,,,,
13878,1,0,99,0,AB Acquisition_Bakugaya Shatter,1,,,,,
13879,1,0,99,0,AB Acquisition_Yazan shattering,1,,,,,
13880,1,0,99,0,AB Acquisition_increase_consumption,1,,,,,
13881,1,0,99,0,AB Mastery_static_shattering,1,,,,,
13882,1,0,99,0,AB Mastery_Superior_Bow,1,,,,,
13883,1,0,99,0,AB Mastery_Healing_Ki Wing,1,,,,,
13884,1,0,99,0,AB Mastery_Breaking_Balls_Turned_down,1,,,,,
13885,1,0,99,0,AB Acquisition_Holy Spirit Falling,1,,,,,
13886,1,0,99,0,AB Acquisition_Fuuma,1,,,,,
13887,1,0,99,0,AB Acquisition_Impulse_Breakdown,1,,,,,
13888,1,0,99,0,AB Acquisition_Destruction_Absorption,1,,,,,
13889,1,0,99,0,AB Acquisition_Healing_Air_Tolerance,1,,,,,
13890,1,0,99,0,AB Mastery_Breaking_Ball_Breaking,1,,,,,
13891,1,0,99,0,AB Mastery_Holy Spirit,1,,,,,
13892,1,0,99,0,AB Mastery_Maozu,1,,,,,
13893,1,0,99,0,AB Mastery_impact_shattering,1,,,,,
13894,1,0,99,0,AB Mastery_hard_air,1,,,,,
13895,1,0,99,0,AB Learn_Shield_Breaking,1,,,,,
13896,1,0,99,0,AB Acquisition_Kakisho Retsu,1,,,,,
13897,1,0,99,0,AB Acquisition_Attack_Bombing,1,,,,,
13898,1,0,99,0,AB Acquisition_Goji,1,,,,,
13899,1,0,99,0,AB Acquisition _ Shield Order,1,,,,,
13900,1,0,99,0,AB Acquisition_Focusing,1,,,,,
13901,1,0,99,0,AB Learn_Shield_Batting_Shattering,1,,,,,
13902,1,0,99,0,AB Acquisition_About_Shattering,1,,,,,
13903,1,0,99,0,AB Acquisition_Attack_Bombing Down,1,,,,,
13904,1,0,99,0,AB Mastery_Shield_breakdown,1,,,,,
13905,1,0,99,0,AB Acquisition_shield_order_shattering,1,,,,,
13906,1,0,99,0,AB Acquisition_Vision_Very_Very_Very_Very_Very_Very,1,,,,,
13907,1,0,99,0,AB Acquisition_Magic_Bullet_Back down,1,,,,,
13908,1,0,99,0,AB Acquisition_Magic Trap Crushing,1,,,,,
13909,1,0,99,0,AB Acquisition_Demon Breaking Down,1,,,,,
13910,1,0,99,0,AB learning_hard_floating,1,,,,,
13911,1,0,99,0,AB Acquisition_Magic Breaking,1,,,,,
13912,1,0,99,0,AB Mastery_overturning_strength,1,,,,,
13913,1,0,99,0,AB Acquisition_Magic Bullet Shattering,1,,,,,
13914,1,0,99,0,AB Acquisition_Magic Trap Setup,1,,,,,
13915,1,0,99,0,AB Acquisition_Magic break Wing,1,,,,,
13916,1,0,99,0,AB Acquisition_Decrease,1,,,,,
13917,1,0,99,0,AB Acquisition_Magic Trap Wing,1,,,,,
13918,1,0,99,0,AB Acquisition_Kaido,1,,,,,
13919,1,0,99,0,AB Acquisition_Breakaway Fall,1,,,,,
13920,1,0,99,0,AB Learn_Magic_Slayer Extreme,1,,,,,
13921,1,0,99,0,AB Acquisition_Magic overthrowing crushing,1,,,,,
13922,1,0,99,0,AB Acquisition_Kaisen,1,,,,,
13923,1,0,99,0,AB Acquisition_Hirozan Down,1,,,,,
13924,1,0,99,0,AB Mastery_offensive_shield,1,,,,,
13925,1,0,99,0,AB Acquisition_Breaking,1,,,,,
13926,1,0,99,0,AB Mastery_Magic_falling_out,1,,,,,
13927,1,0,99,0,AB Acquisition_Magic Slash Crush,1,,,,,
13928,1,0,99,0,AB Mastery_Great grip,1,,,,,
13929,1,0,99,0,AB Acquisition_Hirozan Crush,1,,,,,
13930,1,0,99,0,AB Acquisition_Resentment,1,,,,,
13931,1,0,99,0,AB Mastery_Fighting_ya Down,1,,,,,
13932,1,0,99,0,AB Acquisition_Sukeya Ei,1,,,,,
13933,1,0,99,0,AB Acquisition_Introduction,1,,,,,
13934,1,0,99,0,AB Acquisition _ rapid progress,1,,,,,
13935,1,0,99,0,AB Mastery_Excitement_Ya Settlement,1,,,,,
13936,1,0,99,0,AB Mastery_Magic_shield,1,,,,,
13937,1,0,99,0,AB Acquisition_Sukeya Shun,1,,,,,
13938,1,0,99,0,AB Acquisition_Shun Tuya,1,,,,,
13939,1,0,99,0,AB Mastery_Introduction,1,,,,,
13940,1,0,99,0,AB Acquisition_Salvation_Devil,1,,,,,
13941,1,0,99,0,AB Mastery_Expand Fenya,1,,,,,
13942,1,0,99,0,AB Acquisition_Optometry,1,,,,,
13943,1,0,99,0,AB Mastery_Renunciation_Breakdown,1,,,,,
13944,1,0,99,0,AB Acquisition_Avoidance_Reflection Overthrow,1,,,,,
13945,1,0,99,0,AB Acquisition_Renewal_explosion Overthrow,1,,,,,
13946,1,0,99,0,AB Acquisition_Hard vision,1,,,,,
13947,1,0,99,0,AB Acquisition_Renewal_Impulse_Subversion,1,,,,,
13948,1,0,99,0,AB Acquisition_Strong,1,,,,,
13949,1,0,99,0,AB Acquisition_Renewal_Breakage,1,,,,,
13950,1,0,99,0,AB Acquisition_Renewal_Bombing_Smashing,1,,,,,
13951,1,0,99,0,AB Learn_About_Abandonment,1,,,,,
13952,1,0,99,0,AB Acquisition _ Empty,1,,,,,
13953,1,0,99,0,AB Acquisition_Renjo Shatter,1,,,,,
13954,1,0,99,0,AB Acquisition_protection_ren,1,,,,,
13955,1,0,99,0,Skill acquisition_Ryu Shield Sho,1,,,,,
13956,1,0,99,0,Skill acquisition_Bomb blades,1,,,,,
13957,1,0,99,0,Skill acquisition_Hopping hawk slash,1,,,,,
13958,1,0,99,0,Skill acquisition_Tenkyu Bakunyu,1,,,,,
13959,1,0,99,0,Skill acquisition_Sougane direct shooting,1,,,,,
13960,1,0,99,0,Skill Acquisition_Solars Riser,1,,,,,
13961,1,0,99,0,Skill Acquisition_Blast Addition,1,,,,,
13962,1,0,99,0,Skill Acquisition_Stone Light,1,,,,,
13963,1,0,99,0,Skill Acquisition_Protection Swing,1,,,,,
13964,1,0,99,0,Skill acquisition_Icicle earrings,1,,,,,
13965,1,0,99,0,Skill Acquisition_Lightning Stake,1,,,,,
13966,1,0,99,0,Skill acquisition_Great Fang Gouge,1,,,,,
13967,1,0,99,0,Skill acquisition_Earthquake,1,,,,,
13968,1,0,99,0,Skill Acquisition_Healing Flash,1,,,,,
13969,1,0,99,0,Skill acquisition_Tactile Magic Arrow,1,,,,,
13970,1,0,99,0,Skill Acquisition_Alchem Burst,1,,,,,
13971,1,0,99,0,Skill acquisition_Dorus Aeris,1,,,,,
14189,1,950,99,30,Key of Dragon Force,8,,,,,
14190,1,950,99,30,Key of Gemstones,8,,,,,
14191,1,950,99,30,Key of Treasures,8,,,,,
14192,1,950,99,30,Key of Jewelry,8,,,,,
16100,1,0,99,1,Book of Acquisition (Companion Healing),1,,,,,
16101,1,0,99,1,Book of Acquisition (Heavy Steps: Light),1,,,,,
16102,1,0,99,1,Book of Acquisition (Deft Footing: Light),1,,,,,
16103,1,0,99,1,Book of Acquisition (Extended Springs: Light),1,,,,,
16104,1,0,99,1,Book of Acquisition (Gathering: Light),1,,,,,
16105,1,0,99,1,Book of Acquisition (Efficacy: Light),1,,,,,
16106,1,0,99,1,Book of Acquisition (Effect Extension: Light),1,,,,,
16107,1,0,99,1,Book of Acquisition (Expert Excavator: Light),1,,,,,
16108,1,0,99,1,Book of Acquisition (Flow: Light),1,,,,,
16109,1,0,99,1,Book of Acquisition (Treasure Eye: Light),1,,,,,
16110,1,0,99,1,Book of Acquisition (Willpower: Light),1,,,,,
16111,1,0,99,1,Book of Acquisition (Safe Landing: Light),1,,,,,
16455,1,0,99,1,AB Acquisition _ spear shot Down,1,,,,,
16456,1,0,99,1,AB Acquisition_Tempo Ascending and Falling,1,,,,,
16457,1,0,99,1,AB Mastery_Tenkasho Topple,1,,,,,
16458,1,0,99,1,AB Acquisition_Active,1,,,,,
16459,1,0,99,1,AB Acquisition_Yarimai Falling,1,,,,,
16460,1,0,99,1,AB Mastery_Protection,1,,,,,
16461,1,0,99,1,AB Acquisition_Spear Breaking,1,,,,,
16462,1,0,99,1,AB Mastery_Ascension Breaking,1,,,,,
16463,1,0,99,1,AB Mastery_Tenkaku 破,1,,,,,
16464,1,0,99,1,AB Mastery_Strong_Attachment,1,,,,,
16465,1,0,99,1,AB Acquisition_Yarimai Break,1,,,,,
16466,1,0,99,1,AB Acquisition_Reinforcement,1,,,,,
16470,1,0,99,1,Skill Acquisition_Range Support,1,,,,,
16471,1,0,99,1,Skill Acquisition_Impact Barrier,1,,,,,
16743,1,10,50,10,Lestanian Herb Candy,1,,,,,
16744,1,10,50,10,Gala Potato Cookie,1,,,,,
16822,1,100,255,1,Experience Crystal,1,,,,,
16831,1,10000,255,1,Experience Crystal,1,,,,,
17106,1,10,50,1,Handpicked Cacao,1,,,,,
17107,1,80,10,1,Special Chocolate,1,,,,,
17923,1,100,99,80,Bonus Dungeon Ticket (XP),8,,,,,
17924,1,100,99,80,Bonus Dungeon Ticket (R),8,,,,,
17925,1,100,99,80,Bonus Dungeon Ticket (BO),8,,,,,
17926,1,100,99,80,Bonus Dungeon Ticket (G),8,,,,,
18640,1,500,99,80,Carrie's Special Sandwich,1,,,,,
18641,1,800,99,85,Carrie's Special Lunchbox,1,,,,,
18643,1,1,99,1,Dominion Point,1,,,,,
18644,1,10,99,2,Dominion Point,1,,,,,
18645,1,100,99,3,Dominion Point,1,,,,,
18742,1,0,255,1,High Orb (1 HO),1,,,,,
18743,1,0,255,2,High Orb (10 HO),1,,,,,
18744,1,0,255,3,High Orb (100 HO),1,,,,,
18816,1,0,1,1,Orb of Growth (LV.80),1,,,,,
18817,1,0,1,1,Orb of Complete Augmentation (Dragon Force Augmentation),1,,,,,
18818,1,0,1,1,Orb of Portcrystal and Area Rank Unlock,1,,,,,
18825,1,0,255,0,AP (Urteca Mountains),1,,,,,
18827,1,0,255,1,Adventure Pass Point,1,,,,,
18828,1,0,255,1,Coin Pouch (7500 G),1,,,,,
18829,1,1250,255,1,Rift Crystal (1250 RP),1,,,,,
18830,1,0,255,1,Blood Orb (750 BO),1,,,,,
18831,1,0,255,1,Experience Crystal,1,,,,,
18832,1,0,255,1,Play Point,1,,,,,
18836,1,0,99,0,Skill acquisition_Sword fang ascending slash_technique,1,,,,,
18837,1,0,99,0,Skill acquisition_Sword Fang Ascending Slash_Gang,1,,,,,
18838,1,0,99,0,Skill acquisition_shield bash_technique,1,,,,,
18839,1,0,99,0,Skill Acquisition_Shield Bash_Stiff,1,,,,,
18840,1,0,99,0,Skill Acquisition _ Sink Assassination _ Technique,1,,,,,
18841,1,0,99,0,Skill Acquisition _ Sink Assassination _ Stiff,1,,,,,
18842,1,0,99,0,Skill acquisition_Bomb blades_technique,1,,,,,
18843,1,0,99,0,Skill acquisition_Bakuflame_Blade_Gang,1,,,,,
18844,1,0,99,0,Skill acquisition_Range shooting_technique,1,,,,,
18845,1,0,99,0,Skill acquisition_Range shooting_Stiff,1,,,,,
18846,1,0,99,0,Skill acquisition_whirlpool shooting_technique,1,,,,,
18847,1,0,99,0,Skill acquisition_Whirlpool shooting_Stiff,1,,,,,
18848,1,0,99,0,Skill acquisition_Solars Riser_technique,1,,,,,
18849,1,0,99,0,Skill acquisition_Solars Riser_Gang,1,,,,,
18850,1,0,99,0,Skill acquisition_Seraphim flap_technique,1,,,,,
18851,1,0,99,0,Skill Acquisition_Seraphim Flap_Stiff,1,,,,,
18852,1,0,99,0,Skill acquisition_Earthshake_technique,1,,,,,
18853,1,0,99,0,Skill acquisition_Earthshake_Stiff,1,,,,,
18854,1,0,99,0,Skill acquisition_force shield_technique,1,,,,,
18855,1,0,99,0,Skill Acquisition_Force Shield_Stiff,1,,,,,
18856,1,0,99,0,Skill acquisition_Darkness mist_technique,1,,,,,
18857,1,0,99,0,Skill acquisition_Darkness Mist_Stiff,1,,,,,
18858,1,0,99,0,Skill acquisition_Thunder cage_technique,1,,,,,
18859,1,0,99,0,Skill acquisition_Thunder Cage_Stiff,1,,,,,
18860,1,0,99,0,Skill Acquisition_Mage Running_Waza,1,,,,,
18861,1,0,99,0,Skill Acquisition_Mage Running_Gang,1,,,,,
18862,1,0,99,0,Skill acquisition_Pattern hitting_technique,1,,,,,
18863,1,0,99,0,Skill Acquisition_Pattern Striking_Stiff,1,,,,,
18864,1,0,99,0,Skill acquisition_Flame bow_technique,1,,,,,
18865,1,0,99,0,Skill acquisition_Flame bow_Stiff,1,,,,,
18866,1,0,99,0,Skill acquisition_Reduced resistance bow_technique,1,,,,,
18867,1,0,99,0,Skill acquisition_Reduced resistance bow_Stiff,1,,,,,
18868,1,0,99,0,Skill acquisition_Pile binder_technique,1,,,,,
18869,1,0,99,0,Skill Acquisition_Pile Binder_Stiff,1,,,,,
18870,1,0,99,0,Skill acquisition_Alma Pillar_technique,1,,,,,
18871,1,0,99,0,Skill acquisition_Alma Pillar_Stiff,1,,,,,
18872,1,0,99,0,Skill Acquisition_Wall Grasshopper_Technique,1,,,,,
18873,1,0,99,0,Skill Acquisition_Wall Grasshopper_Stiff,1,,,,,
18874,1,0,99,0,Skill acquisition_Aram Fang_technique,1,,,,,
18875,1,0,99,0,Skill acquisition_Aram Fang_Stiff,1,,,,,
19199,1,0,99,1,Book of Acquisition (Resist Poison),1,,,,,
19200,1,0,99,1,Book of Acquisition (Anti-slow),1,,,,,
19201,1,0,99,1,Book of Acquisition (Anti-sleep),1,,,,,
19202,1,0,99,1,Book of Acquisition (Anti-stun),1,,,,,
19203,1,0,99,1,Book of Acquisition (Anti-drench),1,,,,,
19204,1,0,99,1,Book of Acquisition (Anti-oil),1,,,,,
19205,1,0,99,1,Book of Acquisition (Anti-seal),1,,,,,
19206,1,0,99,1,Book of Acquisition (Anti-subdue),1,,,,,
19207,1,0,99,1,Book of Acquisition (Anti-petrify),1,,,,,
19208,1,0,99,1,Book of Acquisition (Anti-goldify),1,,,,,
19209,1,0,99,1,Book of Acquisition (Close to Fire),1,,,,,
19210,1,0,99,1,Book of Acquisition (Close to Ice),1,,,,,
19211,1,0,99,1,Book of Acquisition (Close to Thunder),1,,,,,
19212,1,0,99,1,Book of Acquisition (Close to Holy),1,,,,,
19213,1,0,99,1,Book of Acquisition (Close to Dark),1,,,,,
19214,1,0,99,1,Book of Acquisition (Control Poison),1,,,,,
19215,1,0,99,1,Book of Acquisition (Control Slow),1,,,,,
19216,1,0,99,1,Book of Acquisition (Control Sleep),1,,,,,
19217,1,0,99,1,Book of Acquisition (Control Stun),1,,,,,
19218,1,0,99,1,Book of Acquisition (Quick Drying),1,,,,,
19219,1,0,99,1,Book of Acquisition (Quick Clean),1,,,,,
19220,1,0,99,1,Book of Acquisition (Quick Seal),1,,,,,
19221,1,0,99,1,Book of Acquisition (Reduce Subdue),1,,,,,
19222,1,0,99,1,Book of Acquisition (Reduce Tar),1,,,,,
19223,1,0,99,1,Book of Acquisition (Reduce Freeze),1,,,,,
19224,1,0,99,1,Book of Acquisition (Reduce Blind),1,,,,,
19225,1,0,99,1,Book of Acquisition (Reduce Fire),1,,,,,
19226,1,0,99,1,Book of Acquisition (Reduce Ice),1,,,,,
19227,1,0,99,1,Book of Acquisition (Reduce Thunder),1,,,,,
19228,1,0,99,1,Book of Acquisition (Reduce Holy),1,,,,,
19229,1,0,99,1,Book of Acquisition (Reduce Dark),1,,,,,
19230,1,0,99,1,Book of Acquisition (Reduce Physical Attack Down),1,,,,,
19231,1,0,99,1,Book of Acquisition (Reduce Defense Down),1,,,,,
19232,1,0,99,1,Book of Acquisition (Reduce Magick Attack Down),1,,,,,
19233,1,0,99,1,Book of Acquisition (Reduce Magick Defense Down),1,,,,,
19234,1,0,99,1,Book of Acquisition (Reduce Petrify),1,,,,,
19235,1,0,99,1,Book of Acquisition (Reduce Goldify),1,,,,,
19367,1,0,99,80,Custom-Made Service Ticket,1,,,,,
19382,1,150,99,10,Fresh Sangria,1,,,,,
19383,1,150,99,10,Spicy Radish Marinade,1,,,,,
19384,1,150,99,10,Beach Grilled Meat Skewers,1,,,,,
